City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapaa,US,22.0752,-159.319,69.78,100,40,4.61,scattered clouds
80,Hamilton,US,39.1834,-84.5333,29.59,52,40,4.0,scattered clouds
81,Okhotsk,RU,59.3833,143.3,-12.62,75,68,8.01,broken clouds
82,Tiksi,RU,71.6872,128.8694,-8.05,88,100,12.93,overcast clouds
83,Iqaluit,CA,63.7506,-68.5145,-20.31,68,20,4.0,few clouds
84,Presidente Epitacio,BR,-21.7633,-52.1156,94.42,31,98,4.97,light rain
85,Den Helder,NL,52.9599,4.7593,39.97,77,75,8.99,broken clouds
86,Morazan,HN,15.3167,-87.6,86.81,50,32,2.95,scattered clouds
87,Sangre Grande,TT,10.5835,-61.1177,87.76,64,96,10.85,overcast clouds
88,Bontang,ID,0.1333,117.5,75.47,93,100,2.8,heavy intensity rain
89,Kalmunai,LK,7.4167,81.8167,72.88,70,80,6.26,broken clouds
90,Mataura,NZ,-46.1927,168.8643,54.48,96,86,6.67,overcast clouds
91,Cap Malheureux,MU,-19.9842,57.6142,81.09,88,86,3.0,overcast clouds
92,Cidreira,BR,-30.1811,-50.2056,81.39,79,3,11.9,clear sky
93,Waw,SS,7.7029,27.9953,76.86,22,100,6.17,overcast clouds
94,Peyima,SL,8.7,-11.0333,78.76,16,100,3.02,overcast clouds
95,Yellowknife,CA,62.456,-114.3525,-8.88,77,100,10.36,light snow
96,Cayenne,GF,4.9333,-52.3333,84.24,81,75,7.0,broken clouds
97,Srednekolymsk,RU,67.45,153.6833,-40.72,99,39,3.13,scattered clouds
98,Hithadhoo,MV,-0.6,73.0833,82.22,73,100,6.87,overcast clouds
99,La Ronge,CA,55.1001,-105.2842,-1.95,71,100,8.05,overcast clouds
100,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,0,8.05,clear sky
101,San Cristobal,VE,7.7669,-72.225,80.78,43,100,6.2,overcast clouds
102,Bambous Virieux,MU,-20.3428,57.7575,80.85,94,40,6.91,light rain
103,Carberry,CA,49.8689,-99.3602,-4.34,79,0,9.62,clear sky
104,Gushi,CN,34.6425,109.5843,32.31,64,100,10.18,light snow
105,Parabel,RU,58.6978,81.4825,9.01,96,96,5.28,overcast clouds
106,Tuatapere,NZ,-46.1333,167.6833,54.82,87,98,9.13,overcast clouds
107,Belaya Gora,RU,68.5333,146.4167,-45.35,100,55,2.59,broken clouds
108,Khani,GE,41.9563,42.9566,22.57,98,100,3.33,snow
109,Eureka,US,40.8021,-124.1637,53.2,97,22,5.57,few clouds
110,Itoman,JP,26.1247,127.6694,59.02,58,6,6.91,clear sky
111,Kaitangata,NZ,-46.2817,169.8464,57.92,82,98,12.53,overcast clouds
